Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Free Space 1,Free Space 2,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Free Space 3,Demand-Loadshed Difference,Free Space 4,Generation
8,814.336240884699,-1,-1,5893.6,0,0,2,0,0,0,0,4779,4779,0,1114.6,0,0
9,0,-1,-1,5893.6,0,0,3,50,814.336240884699,37,50,4781,4781,0,1112.6,0,0
10,0,-1,-1,5893.6,0,0,4,50,814.336240884699,34,50,4784,4784,0,1109.6,0,0
11,0,-1,-1,5893.6,0,0,5,50,814.336240884699,33,50,4784,4784,0,1109.6,0,0
12,0,-1,-1,5893.6,0,0,-1,50,814.336240884699,41,50,5894,5894,0,-0.399999999999636,0,0
8,980.394861224498,-1,-1,5893.6,0,0,2,0,0,0,0,4644,4644,0,1249.6,0,0
9,0,-1,-1,5893.6,0,0,3,50,980.394861224498,34,50,4644,4644,0,1249.6,0,0
10,0,-1,-1,5893.6,0,0,4,50,980.394861224498,33,50,4685,4685,0,1208.6,0,0
11,0,-1,-1,5893.6,0,0,5,50,980.394861224498,20,50,4744,4744,0,1149.6,0,0
12,0,-1,-1,5893.6,0,0,6,50,980.394861224498,41,50,4783,4783,0,1110.6,0,0
13,0,-1,-1,5893.6,0,0,7,50,980.394861224498,14,50,5894,5894,0,-0.399999999999636,0,0
14,0,-1,-1,5893.6,0,0,8,50,980.394861224498,37,50,5894,5894,0,-0.399999999999636,0,0
15,0,-1,-1,5893.6,0,0,-1,50,980.394861224498,39,50,5894,5894,0,-0.399999999999636,0,0
8,980.394861224498,-1,-1,5893.6,0,0,2,0,0,0,0,4759,4759,0,1134.6,0,0
9,0,-1,-1,5893.6,0,0,3,50,980.394861224498,14,50,5264,5264,0,629.6,0,0
10,0,-1,-1,5893.6,0,0,4,50,980.394861224498,41,50,5281,5281,0,612.6,0,0
11,0,-1,-1,5893.6,0,0,5,50,980.394861224498,20,50,5285,5285,0,608.6,0,0
12,0,-1,-1,5893.6,0,0,6,50,980.394861224498,37,50,5286,5286,0,607.6,0,0
13,0,-1,-1,5893.6,0,0,7,50,980.394861224498,34,50,5286,5286,0,607.6,0,0
14,0,-1,-1,5893.6,0,0,8,50,980.394861224498,39,50,5286,5286,0,607.6,0,0
15,0,-1,-1,5893.6,0,0,-1,50,980.394861224498,33,50,5894,5894,0,-0.399999999999636,0,0
8,1794.7311021092,-1,-1,5893.6,0,0,2,0,0,0,0,4705,4705,0,1188.6,0,0
9,0,-1,-1,5893.6,0,0,3,50,1794.7311021092,33,50,4705,4705,0,1188.6,0,0
10,0,-1,-1,5893.6,0,0,4,50,1794.7311021092,34,50,4705,4705,0,1188.6,0,0
