Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Free Space 1,Free Space 2,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Free Space 3,Demand-Loadshed Difference,Free Space 4,Generation
6,980.394861224498,-1,-1,5893.6,0,0,2,0,0,0,0,4772,4772,0,1121.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,980.394861224498,33,50,4772,4772,0,1121.6,0,0
8,0,-1,-1,5893.6,0,0,4,50,980.394861224498,34,50,4772,4772,0,1121.6,0,0
9,0,-1,-1,5893.6,0,0,5,50,980.394861224498,14,50,4782,4782,0,1111.6,0,0
10,0,-1,-1,5893.6,0,0,6,50,980.394861224498,39,50,4783,4783,0,1110.6,0,0
11,0,-1,-1,5893.6,0,0,-1,50,980.394861224498,37,50,5894,5894,0,-0.399999999999636,0,0
6,980.394861224498,-1,-1,5893.6,0,0,2,0,0,0,0,4778,4778,0,1115.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,980.394861224498,37,50,4781,4781,0,1112.6,0,0
8,0,-1,-1,5893.6,0,0,4,50,980.394861224498,14,50,5894,5894,0,-0.399999999999636,0,0
9,0,-1,-1,5893.6,0,0,5,50,980.394861224498,33,50,5894,5894,0,-0.399999999999636,0,0
10,0,-1,-1,5893.6,0,0,6,50,980.394861224498,34,50,5894,5894,0,-0.399999999999636,0,0
11,0,-1,-1,5893.6,0,0,7,50,980.394861224498,41,50,5894,5894,0,-0.399999999999636,0,0
12,0,-1,-1,5893.6,0,0,-1,50,980.394861224498,40,100,5894,5894,0,-0.399999999999636,0,0
6,814.336240884699,-1,-1,5893.6,0,0,2,0,0,0,0,4779,4779,0,1114.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,814.336240884699,14,50,4783,4783,0,1110.6,0,0
8,0,-1,-1,5893.6,0,0,4,50,814.336240884699,37,50,4782,4782,0,1111.6,0,0
9,0,-1,-1,5893.6,0,0,-1,50,814.336240884699,41,50,5894,5894,0,-0.399999999999636,0,0
6,814.336240884699,-1,-1,5893.6,0,0,2,0,0,0,0,4782,4782,0,1111.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,814.336240884699,34,50,4782,4782,0,1111.6,0,0
8,0,-1,-1,5893.6,0,0,4,50,814.336240884699,41,50,4780,4780,0,1113.6,0,0
9,0,-1,-1,5893.6,0,0,5,50,814.336240884699,37,50,4782,4782,0,1111.6,0,0
10,0,-1,-1,5893.6,0,0,6,50,814.336240884699,20,50,4782,4782,0,1111.6,0,0
11,0,-1,-1,5893.6,0,0,-1,50,814.336240884699,33,50,5894,5894,0,-0.399999999999636,0,0
6,980.394861224498,-1,-1,5893.6,0,0,2,0,0,0,0,4752,4752,0,1141.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,980.394861224498,14,50,5796,5796,0,97.6000000000004,0,0
8,0,-1,-1,5893.6,0,0,-1,50,980.394861224498,41,50,5796,5796,0,97.6000000000004,0,0
6,804.850243636003,-1,-1,5893.6,0,0,2,0,0,0,0,4782,4782,0,1111.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,804.850243636003,20,50,4773,4773,0,1120.6,0,0
8,0,-1,-1,5893.6,0,0,4,50,804.850243636003,34,50,4783,4783,0,1110.6,0,0
9,0,-1,-1,5893.6,0,0,-1,50,804.850243636003,39,50,5894,5894,0,-0.399999999999636,0,0
6,1794.7311021092,-1,-1,5893.6,0,0,2,0,0,0,0,4714,4714,0,1179.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,1794.7311021092,34,50,4714,4714,0,1179.6,0,0
8,0,-1,-1,5893.6,0,0,4,50,1794.7311021092,41,50,4736,4736,0,1157.6,0,0
9,0,-1,-1,5893.6,0,0,5,50,1794.7311021092,14,50,4763,4763,0,1130.6,0,0
10,0,-1,-1,5893.6,0,0,6,50,1794.7311021092,20,50,4783,4783,0,1110.6,0,0
11,0,-1,-1,5893.6,0,0,-1,50,1794.7311021092,37,50,5894,5894,0,-0.399999999999636,0,0
6,980.394861224498,-1,-1,5893.6,0,0,2,0,0,0,0,4781,4781,0,1112.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,980.394861224498,39,50,4783,4783,0,1110.6,0,0
8,0,-1,-1,5893.6,0,0,4,50,980.394861224498,41,50,4782,4782,0,1111.6,0,0
9,0,-1,-1,5893.6,0,0,5,50,980.394861224498,33,50,4783,4783,0,1110.6,0,0
10,0,-1,-1,5893.6,0,0,-1,50,980.394861224498,20,50,5894,5894,0,-0.399999999999636,0,0
6,1038,-1,-1,5893.6,0,0,2,0,0,0,0,4784,4784,0,1109.6,0,0
7,0,-1,-1,5893.6,0,0,-1,50,1038,14,50,5894,5894,0,-0.399999999999636,0,0
6,961.18498999877,-1,-1,5893.6,0,0,2,0,0,0,0,4706,4706,0,1187.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,961.18498999877,34,50,4706,4706,0,1187.6,0,0
8,0,-1,-1,5893.6,0,0,4,50,961.18498999877,14,50,4754,4754,0,1139.6,0,0
9,0,-1,-1,5893.6,0,0,5,50,961.18498999877,20,50,4781,4781,0,1112.6,0,0
10,0,-1,-1,5893.6,0,0,6,50,961.18498999877,33,50,4781,4781,0,1112.6,0,0
11,0,-1,-1,5893.6,0,0,7,50,961.18498999877,37,50,4783,4783,0,1110.6,0,0
12,0,-1,-1,5893.6,0,0,-1,50,961.18498999877,39,50,5894,5894,0,-0.399999999999636,0,0
6,800,-1,-1,5893.6,0,0,2,0,0,0,0,4782,4782,0,1111.6,0,0
7,0,-1,-1,5893.6,0,0,3,50,800,20,50,4780,4780,0,1113.6,0,0
8,0,-1,-1,5893.6,0,0,-1,50,800,14,50,5894,5894,0,-0.399999999999636,0,0
6,980.394861224498,-1,-1,5893.6,0,0,2,0,0,0,0,4777,4777,0,1116.6,0,0
